,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
0,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,94,75,2.24,RU,1689894723
1,Waitangi,-43.9535,-176.5597,45.82,94,85,3.0,NZ,1689894527
2,Ribeira Grande,38.5167,-28.7,72.0,88,40,5.99,PT,1689894725
3,George Town,5.4112,100.3354,82.33,83,20,5.75,MY,1689894696
4,Corcoran,36.098,-119.5604,102.34,9,0,7.61,US,1689894608
5,Broken Hill,-31.95,141.4333,45.21,75,1,12.55,AU,1689894729
6,Naryan-Mar,67.6713,53.087,51.6,93,99,12.21,RU,1689894730
7,Labrador City,52.9463,-66.9114,64.4,58,67,4.92,CA,1689894609
8,San Antonio de Palé,-1.4014,5.6325,74.5,78,48,10.45,GQ,1689894733
9,Omutinskiy,56.4745,67.6709,60.57,93,60,5.82,RU,1689894734
10,Invercargill,-46.4,168.35,41.67,73,6,8.5,NZ,1689894506
11,Homer,59.6425,-151.5483,60.69,75,100,12.66,US,1689894624
12,Crane,31.3974,-102.3501,99.59,16,100,18.3,US,1689894737
13,Bilibino,68.0546,166.4372,67.3,53,60,3.47,RU,1689894739
14,Vawkavysk,53.1561,24.4513,52.97,94,54,7.07,BY,1689894740
15,Adamstown,-25.066,-130.1015,71.06,89,100,31.7,PN,1689894741
16,La Passe,45.5549,-0.8967,63.99,79,58,11.05,FR,1689894742
17,Horta,38.5333,-28.6333,71.24,92,40,7.0,PT,1689894743
18,Margaret River,-33.95,115.0667,58.69,69,25,18.79,AU,1689894745
19,Enewetak,11.3474,162.3373,83.68,79,66,14.16,MH,1689894746
20,Pacific Grove,36.6177,-121.9166,83.39,85,20,11.5,US,1689894747
21,Sitka,57.0531,-135.33,64.29,68,75,0.0,US,1689894705
22,Port Mathurin,-19.6833,63.4167,73.81,69,11,16.98,MU,1689894750
23,Puerto Natales,-51.7236,-72.4875,31.55,97,100,6.91,CL,1689894751
24,Oban,56.4127,-5.4706,53.38,87,99,2.8,GB,1689894752
25,Kurumkan,54.3,110.3,63.84,59,36,4.14,RU,1689894753
26,Acapulco de Juárez,16.8634,-99.8901,89.42,70,0,13.8,MX,1689894457
27,Ilulissat,69.2167,-51.1,48.22,87,40,4.61,GL,1689894756
28,Kosh-Agach,50.0,88.6667,57.0,77,41,2.42,RU,1689894757
29,Punta Arenas,-53.15,-70.9167,31.21,88,100,18.12,CL,1689894719
30,Slave Lake,55.2834,-114.769,73.38,64,0,4.61,CA,1689894759
31,Bredasdorp,-34.5322,20.0403,44.55,84,0,3.78,ZA,1689894761
32,Korets,50.6165,27.1605,54.12,96,3,5.57,UA,1689894762
33,Aykhal,66.0,111.5,60.98,81,91,12.8,RU,1689894763
34,Macheng,31.1783,115.0319,77.52,96,100,2.68,CN,1689894764
35,Mata-Utu,-13.2816,-176.1745,82.42,80,100,11.1,WF,1689894765
36,Uturoa,-16.7333,-151.4333,75.94,64,15,18.75,PF,1689894767
37,Saint-Joseph,-21.3667,55.6167,67.48,70,10,3.31,RE,1689894768
38,Borkum,53.5809,6.6915,62.55,71,30,9.66,DE,1689894769
39,Hawaiian Paradise Park,19.5933,-154.9731,81.73,78,100,8.05,US,1689894491
40,Port-aux-Français,-49.35,70.2167,35.17,48,62,33.24,TF,1689894713
41,Albany,42.6001,-73.9662,81.01,56,42,1.01,US,1689894668
42,Rabo de Peixe,37.8,-25.5833,69.31,83,20,1.14,PT,1689894774
43,Stanley,54.868,-1.6985,53.06,92,0,5.75,GB,1689894775
44,Kapuskasing,49.4169,-82.4331,73.49,49,75,5.75,CA,1689894776
45,Grytviken,-54.2811,-36.5092,28.44,91,96,3.98,GS,1689894778
46,Atafu Village,-8.5421,-172.5159,83.23,77,24,12.62,TK,1689894779
47,Alo,7.4178,6.7371,74.01,98,83,3.36,NG,1689894780
48,Kalifornsky,60.4183,-151.29,61.39,77,40,9.22,US,1689894781
49,Hithadhoo,-0.6,73.0833,82.85,73,25,18.37,MV,1689894783
50,Mount Gambier,-37.8333,140.7667,47.86,78,94,3.94,AU,1689894784
51,Thompson,55.7435,-97.8558,78.96,31,75,12.66,CA,1689894785
52,Puerto Armuelles,8.2833,-82.8667,88.09,73,95,7.0,PA,1689894786
53,São João da Barra,-21.6403,-41.0511,68.09,73,96,11.16,BR,1689894518
54,Blackmans Bay,-43.0167,147.3167,46.53,75,18,4.9,AU,1689894789
55,Hadibu,12.65,54.0333,77.13,81,82,21.12,YE,1689894790
56,Chulakkurgan,43.765,69.1814,78.49,28,48,11.7,KZ,1689894792
57,Merowe,18.4833,31.8167,98.15,13,48,6.31,SD,1689894793
58,Talnakh,69.4865,88.3972,63.21,96,71,7.25,RU,1689894794
59,Yellowknife,62.456,-114.3525,80.17,35,46,10.11,CA,1689894786
60,Edinburgh of the Seven Seas,-37.0676,-12.3116,52.9,57,45,22.59,SH,1689894797
61,Fale old settlement,-9.3852,-171.2468,83.3,77,38,12.03,TK,1689894798
62,Hermanus,-34.4187,19.2345,46.8,79,0,8.93,ZA,1689894799
63,Lebu,-37.6167,-73.65,53.89,95,100,13.91,CL,1689894800
64,West Island,-12.1568,96.8225,76.98,69,40,14.97,CC,1689894802
65,Ushuaia,-54.8,-68.3,31.66,69,75,4.61,AR,1689894803
66,Iqaluit,63.7506,-68.5145,40.73,100,100,5.01,CA,1689894804
67,Nagqu Prefecture,31.5,92.0,31.86,76,0,2.57,CN,1689894805
68,Severo-Yeniseyskiy,60.3725,93.0408,60.26,61,0,3.76,RU,1689894807
69,Ambon City,-3.6954,128.1814,84.24,100,40,5.75,ID,1689894794
70,Chibougamau,49.9168,-74.3659,67.62,68,100,6.31,CA,1689894809
71,Avarua,-21.2078,-159.775,73.45,49,20,13.8,CK,1689894810
72,Buritis,-15.6178,-46.4233,73.24,50,17,7.36,BR,1689894812
73,Tiksi,71.6872,128.8694,45.36,64,55,16.06,RU,1689894813
74,Taoudenni,22.6783,-3.9836,100.6,8,16,1.1,ML,1689894814
75,Hilo,19.7297,-155.09,81.25,82,100,8.05,US,1689894649
76,Dzhezkazgan,47.7833,67.7667,80.28,30,94,7.92,KZ,1689894816
77,Isafjordur,66.0755,-23.124,51.06,77,29,1.39,IS,1689894818
78,Yashikira,9.7667,3.4,75.34,85,64,9.28,NG,1689894819
79,Bafoulabé,13.8065,-10.8321,81.61,76,57,4.97,ML,1689894820
80,Acaraú,-2.8856,-40.12,77.95,71,2,16.22,BR,1689894821
81,Hastings,50.8552,0.5729,63.52,38,95,4.05,GB,1689894823
82,Touros,-5.1989,-35.4608,75.87,73,14,15.01,BR,1689894824
83,Keflavik,64.0049,-22.5624,53.51,93,75,2.3,IS,1689894825
84,Callao,-12.0667,-77.15,74.71,68,0,13.8,PE,1689894826
85,Tsimmerbude,54.675,20.1347,57.25,79,31,12.5,RU,1689894828
86,Aasiaat,68.7098,-52.8699,39.04,98,98,13.15,GL,1689894829
87,Belle Fourche,44.6714,-103.8522,77.32,43,86,5.64,US,1689894830
88,Pandan,14.0453,124.1694,81.16,85,91,3.4,PH,1689894831
89,Lascano,-33.6667,-54.2,54.64,93,100,6.82,UY,1689894833
90,Sinabang,2.4803,96.3801,78.31,82,100,4.92,ID,1689894834
91,Liwale,-9.7667,37.9333,63.77,93,10,1.74,TZ,1689894835
92,Vorkuta,67.5,64.0,63.37,84,54,5.68,RU,1689894836
93,Hamilton,39.1834,-84.5333,86.09,76,40,9.22,US,1689894565
94,Kalmunai,7.4167,81.8167,79.95,66,79,4.99,LK,1689894839
95,Mossamedes,-15.1961,12.1522,64.2,80,72,4.63,AO,1689894840
96,Susuman,62.7833,148.1667,75.9,47,9,5.7,RU,1689894841
97,Egilsstadir,65.2653,-14.3948,40.91,100,100,5.75,IS,1689894842
98,San Patricio,28.017,-97.5169,97.52,46,17,16.26,US,1689894844
99,Tataouine,32.9297,10.4518,88.12,22,0,5.1,TN,1689894845
100,Naracoorte,-36.9579,140.7383,45.73,81,72,5.88,AU,1689894846
101,Võru,57.8339,27.0194,49.28,94,30,5.21,EE,1689894847
102,Coyhaique,-45.5752,-72.0662,40.95,93,100,4.61,CL,1689894731
103,Rémire-Montjoly,4.9167,-52.2667,75.24,100,100,2.3,GF,1689894850
104,Vila Franca do Campo,37.7167,-25.4333,70.21,78,99,0.81,PT,1689894851
105,Uíge,-7.6087,15.0613,63.07,66,32,2.17,AO,1689894852
106,Gadzhiyevo,69.2551,33.3362,47.41,88,100,14.65,RU,1689894854
107,Jinghong,21.991,100.7341,72.57,100,99,0.67,CN,1689894855
108,Olonkinbyen,70.9221,-8.7187,42.04,81,100,2.82,SJ,1689894856
109,Flying Fish Cove,-10.4217,105.6791,74.88,78,75,12.66,CX,1689894857
110,Ancud,-41.8697,-73.8203,51.35,88,67,18.81,CL,1689894859
111,Page,36.9147,-111.4558,105.58,12,0,15.01,US,1689894860
112,La Mira,18.035,-102.3266,88.05,69,84,9.64,MX,1689894861
113,Inongo,-1.95,18.2667,73.06,57,6,5.68,CD,1689894862
114,Holualoa,19.6228,-155.9522,81.86,87,75,11.5,US,1689894864
115,Finisterra,42.9049,-9.2629,62.74,87,0,3.62,ES,1689894865
116,Elliot Lake,46.3834,-82.6331,63.19,94,100,5.08,CA,1689894866
117,Port Lincoln,-34.7333,135.8667,53.31,63,53,6.31,AU,1689894867
118,Lihue,21.9789,-159.3672,87.39,61,20,19.57,US,1689894828
119,Fada,9.5667,8.3,68.68,98,96,2.04,NG,1689894870
120,Fortuna,40.5982,-124.1573,71.92,74,0,13.8,US,1689894646
121,Salinópolis,-0.6136,-47.3561,78.62,83,4,11.21,BR,1689894872
122,Suva,-18.1416,178.4415,78.28,83,75,8.05,FJ,1689894791
123,Ust'-Kut,56.7938,105.7672,62.53,65,0,1.36,RU,1689894875
124,Happy Valley-Goose Bay,53.3168,-60.3315,71.91,49,75,6.91,CA,1689894876
125,Udachny,66.4167,112.4,57.45,93,85,0.89,RU,1689894877
126,Birjand,32.8663,59.2211,72.07,30,0,4.61,IR,1689894879
127,Skowhegan,44.7651,-69.7192,78.37,76,87,2.19,US,1689894880
128,Yamethin,20.4333,96.15,75.61,92,97,6.76,MM,1689894881
129,New Plymouth,-39.0667,174.0833,50.81,71,100,26.24,NZ,1689894882
130,Qaqortoq,60.7167,-46.0333,45.43,97,100,3.8,GL,1689894883
131,Rosa,45.9306,12.8708,74.91,83,0,5.75,IT,1689894885
132,Al Jawf,29.5,38.75,84.15,19,0,15.7,SA,1689894886
133,Griviţa,44.7333,27.2833,68.79,81,67,6.98,RO,1689894887
134,Papatowai,-46.5619,169.4708,44.02,66,10,20.11,NZ,1689894888
135,Kerikeri,-35.2268,173.9474,52.92,96,16,3.06,NZ,1689894631
136,Jamestown,42.097,-79.2353,74.84,73,100,13.8,US,1689894891
137,Yinchuan,38.4681,106.2731,70.5,49,27,0.92,CN,1689894820
138,Cole Harbour,44.6724,-63.4751,72.95,90,100,5.99,CA,1689894893
139,Pisco,-13.7,-76.2167,68.05,73,0,18.41,PE,1689894865
140,Sainyabuli,19.25,101.75,71.51,100,100,0.94,LA,1689894896
141,Padang,-0.9492,100.3543,73.45,87,100,2.24,ID,1689894897
142,Chemolgan,43.1897,76.5292,64.06,51,13,4.92,KZ,1689894898
143,Chonchi,-42.6128,-73.8092,51.12,82,64,9.28,CL,1689894899
144,Cururupu,-1.8283,-44.8683,74.59,91,42,3.0,BR,1689894637
145,Puerto Ayora,-0.7393,-90.3518,78.55,93,45,7.0,EC,1689894902
